goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
,results.out
,sec/op,CI
StudentVersion/512x512x1000-1-8,5.7945742705,3%
StudentVersion/512x512x1000-2-8,4.7144661455,2%
StudentVersion/512x512x1000-3-8,4.913416354500001,0%
StudentVersion/512x512x1000-4-8,5.023994375,1%
StudentVersion/512x512x1000-5-8,5.0914401875,0%
StudentVersion/512x512x1000-6-8,5.150941125,2%
StudentVersion/512x512x1000-7-8,5.160428062,1%
StudentVersion/512x512x1000-8-8,5.1615212705,1%
StudentVersion/512x512x1000-9-8,5.2071289785,2%
StudentVersion/512x512x1000-10-8,5.21714725,1%
StudentVersion/512x512x1000-11-8,5.247830708,1%
StudentVersion/512x512x1000-12-8,5.3310443955,1%
StudentVersion/512x512x1000-13-8,5.311870042000001,1%
StudentVersion/512x512x1000-14-8,5.322048667000001,2%
StudentVersion/512x512x1000-15-8,5.259943875,1%
StudentVersion/512x512x1000-16-8,5.276475270500001,2%
geomean,5.194389576372525
